Messstelle:                ;Thomatal
27.08.2003 07:00:00   ;     0
28.08.2003 07:00:00   ;     0
29.08.2003 07:00:00   ;     0
30.08.2003 07:00:00   ;     0
31.08.2003 07:00:00   ;     0
01.09.2003 07:00:00   ;     0
02.09.2003 07:00:00   ;     0
03.09.2003 07:00:00   ;     0
04.09.2003 07:00:00   ;     0
05.09.2003 07:00:00   ;     0
06.09.2003 07:00:00   ;     0
07.09.2003 07:00:00   ;     0
08.09.2003 07:00:00   ;     0
09.09.2003 07:00:00   ;     0
10.09.2003 07:00:00   ;     0
11.09.2003 07:00:00   ;     0
12.09.2003 07:00:00   ;     0
13.09.2003 07:00:00   ;     0
14.09.2003 07:00:00   ;     0
15.09.2003 07:00:00   ;     0
16.09.2003 07:00:00   ;     0
17.09.2003 07:00:00   ;     0
18.09.2003 07:00:00   ;     0
19.09.2003 07:00:00   ;     0
20.09.2003 07:00:00   ;     0
21.09.2003 07:00:00   ;     0
22.09.2003 07:00:00   ;     0
23.09.2003 07:00:00   ;     0
24.09.2003 07:00:00   ;     0
25.09.2003 07:00:00   ;     0
26.09.2003 07:00:00   ;     0
27.09.2003 07:00:00   ;     0
28.09.2003 07:00:00   ;     0
29.09.2003 07:00:00   ;     0
30.09.2003 07:00:00   ;     0
01.10.2003 07:00:00   ;     0
02.10.2003 07:00:00   ;     0
03.10.2003 07:00:00   ;     0
04.10.2003 07:00:00   ;     0
05.10.2003 07:00:00   ;     0
06.10.2003 07:00:00   ;     0
07.10.2003 07:00:00   ;     0
08.10.2003 07:00:00   ;     0
09.10.2003 07:00:00   ;     0
10.10.2003 07:00:00   ;     0
11.10.2003 07:00:00   ;     0
12.10.2003 07:00:00   ;     0
13.10.2003 07:00:00   ;     0
14.10.2003 07:00:00   ;     0
15.10.2003 07:00:00   ;     0
16.10.2003 07:00:00   ;     0
17.10.2003 07:00:00   ;     0
18.10.2003 07:00:00   ;     0
19.10.2003 07:00:00   ;     0
20.10.2003 07:00:00   ;     0
21.10.2003 07:00:00   ;     0
22.10.2003 07:00:00   ;     0
23.10.2003 07:00:00   ;     0
24.10.2003 07:00:00   ;     8
25.10.2003 07:00:00   ;     5
26.10.2003 07:00:00   ;     0
27.10.2003 07:00:00   ;     0
28.10.2003 07:00:00   ;     0
29.10.2003 07:00:00   ;     0
30.10.2003 07:00:00   ;     0
31.10.2003 07:00:00   ;     0
01.11.2003 07:00:00   ;     0
02.11.2003 07:00:00   ;     0
03.11.2003 07:00:00   ;     0
04.11.2003 07:00:00   ;     0
05.11.2003 07:00:00   ;     0
06.11.2003 07:00:00   ;     0
07.11.2003 07:00:00   ;     0
08.11.2003 07:00:00   ;     0
09.11.2003 07:00:00   ;     0
10.11.2003 07:00:00   ;     0
11.11.2003 07:00:00   ;     0
12.11.2003 07:00:00   ;     0
13.11.2003 07:00:00   ;     5
14.11.2003 07:00:00   ;     0
15.11.2003 07:00:00   ;     0
16.11.2003 07:00:00   ;     0
17.11.2003 07:00:00   ;     0
18.11.2003 07:00:00   ;     0
19.11.2003 07:00:00   ;     0
20.11.2003 07:00:00   ;     0
21.11.2003 07:00:00   ;     0
22.11.2003 07:00:00   ;     0
23.11.2003 07:00:00   ;     0
24.11.2003 07:00:00   ;     0
25.11.2003 07:00:00   ;     0
26.11.2003 07:00:00   ;     0
27.11.2003 07:00:00   ;     0
28.11.2003 07:00:00   ;     0
29.11.2003 07:00:00   ;    10
30.11.2003 07:00:00   ;     5
01.12.2003 07:00:00   ;     0
02.12.2003 07:00:00   ;     0
03.12.2003 07:00:00   ;     0
04.12.2003 07:00:00   ;     0
05.12.2003 07:00:00   ;     0
06.12.2003 07:00:00   ;     0
07.12.2003 07:00:00   ;     0
08.12.2003 07:00:00   ;     0
09.12.2003 07:00:00   ;     0
10.12.2003 07:00:00   ;     0
11.12.2003 07:00:00   ;     0
12.12.2003 07:00:00   ;     0
13.12.2003 07:00:00   ;     0
14.12.2003 07:00:00   ;     0
15.12.2003 07:00:00   ;     2
16.12.2003 07:00:00   ;    15
17.12.2003 07:00:00   ;    20
18.12.2003 07:00:00   ;    20
19.12.2003 07:00:00   ;    20
20.12.2003 07:00:00   ;    20
21.12.2003 07:00:00   ;    15
22.12.2003 07:00:00   ;    15
23.12.2003 07:00:00   ;    15
24.12.2003 07:00:00   ;    15
25.12.2003 07:00:00   ;    10
26.12.2003 07:00:00   ;    10
27.12.2003 07:00:00   ;    10
28.12.2003 07:00:00   ;    10
29.12.2003 07:00:00   ;    12
30.12.2003 07:00:00   ;    18
31.12.2003 07:00:00   ;    25
01.01.2004 07:00:00   ;    25
02.01.2004 07:00:00   ;    25
03.01.2004 07:00:00   ;    25
04.01.2004 07:00:00   ;    20
05.01.2004 07:00:00   ;    20
06.01.2004 07:00:00   ;    25
07.01.2004 07:00:00   ;    28
08.01.2004 07:00:00   ;    38
09.01.2004 07:00:00   ;    33
10.01.2004 07:00:00   ;    33
11.01.2004 07:00:00   ;    40
12.01.2004 07:00:00   ;    40
13.01.2004 07:00:00   ;    35
14.01.2004 07:00:00   ;    35
15.01.2004 07:00:00   ;    35
16.01.2004 07:00:00   ;    35
17.01.2004 07:00:00   ;    35
18.01.2004 07:00:00   ;    35
19.01.2004 07:00:00   ;    40
20.01.2004 07:00:00   ;    40
21.01.2004 07:00:00   ;    40
22.01.2004 07:00:00   ;    35
23.01.2004 07:00:00   ;    35
24.01.2004 07:00:00   ;    40
25.01.2004 07:00:00   ;    40
26.01.2004 07:00:00   ;    40
27.01.2004 07:00:00   ;    40
28.01.2004 07:00:00   ;    40
29.01.2004 07:00:00   ;    35
30.01.2004 07:00:00   ;    35
31.01.2004 07:00:00   ;    35
01.02.2004 07:00:00   ;    35
02.02.2004 07:00:00   ;    30
03.02.2004 07:00:00   ;    30
04.02.2004 07:00:00   ;    30
05.02.2004 07:00:00   ;    25
06.02.2004 07:00:00   ;    25
07.02.2004 07:00:00   ;    25
08.02.2004 07:00:00   ;    20
09.02.2004 07:00:00   ;    20
10.02.2004 07:00:00   ;    25
11.02.2004 07:00:00   ;    25
12.02.2004 07:00:00   ;    30
13.02.2004 07:00:00   ;    30
14.02.2004 07:00:00   ;    25
15.02.2004 07:00:00   ;    25
16.02.2004 07:00:00   ;    25
17.02.2004 07:00:00   ;    20
18.02.2004 07:00:00   ;    20
19.02.2004 07:00:00   ;    20
20.02.2004 07:00:00   ;    20
21.02.2004 07:00:00   ;    25
22.02.2004 07:00:00   ;    25
23.02.2004 07:00:00   ;    25
24.02.2004 07:00:00   ;    25
25.02.2004 07:00:00   ;    25
26.02.2004 07:00:00   ;    25
27.02.2004 07:00:00   ;    30
28.02.2004 07:00:00   ;    40
29.02.2004 07:00:00   ;    40
01.03.2004 07:00:00   ;    40
02.03.2004 07:00:00   ;    40
03.03.2004 07:00:00   ;    40
04.03.2004 07:00:00   ;    35
05.03.2004 07:00:00   ;    35
06.03.2004 07:00:00   ;    30
07.03.2004 07:00:00   ;    35
08.03.2004 07:00:00   ;    45
09.03.2004 07:00:00   ;    45
10.03.2004 07:00:00   ;    40
11.03.2004 07:00:00   ;    40
12.03.2004 07:00:00   ;    35
13.03.2004 07:00:00   ;    35
14.03.2004 07:00:00   ;    35
15.03.2004 07:00:00   ;    30
16.03.2004 07:00:00   ;    30
17.03.2004 07:00:00   ;    25
18.03.2004 07:00:00   ;    25
19.03.2004 07:00:00   ;    20
20.03.2004 07:00:00   ;    20
21.03.2004 07:00:00   ;    20
22.03.2004 07:00:00   ;    15
23.03.2004 07:00:00   ;    30
24.03.2004 07:00:00   ;    40
25.03.2004 07:00:00   ;    35
26.03.2004 07:00:00   ;    30
27.03.2004 07:00:00   ;    20
28.03.2004 07:00:00   ;    20
29.03.2004 07:00:00   ;    15
30.03.2004 07:00:00   ;    10
31.03.2004 07:00:00   ;     5
01.04.2004 07:00:00   ;     0
02.04.2004 07:00:00   ;     0
03.04.2004 07:00:00   ;     0
04.04.2004 07:00:00   ;     0
05.04.2004 07:00:00   ;     0
06.04.2004 07:00:00   ;     0
07.04.2004 07:00:00   ;     0
08.04.2004 07:00:00   ;     0
09.04.2004 07:00:00   ;     0
10.04.2004 07:00:00   ;     0
11.04.2004 07:00:00   ;     0
12.04.2004 07:00:00   ;     0
13.04.2004 07:00:00   ;     0
14.04.2004 07:00:00   ;     0
15.04.2004 07:00:00   ;     0
16.04.2004 07:00:00   ;     0
17.04.2004 07:00:00   ;     0
18.04.2004 07:00:00   ;     0
19.04.2004 07:00:00   ;     0
20.04.2004 07:00:00   ;     0
21.04.2004 07:00:00   ;     0
22.04.2004 07:00:00   ;     0
23.04.2004 07:00:00   ;     0
24.04.2004 07:00:00   ;     0
25.04.2004 07:00:00   ;     0
26.04.2004 07:00:00   ;     0
27.04.2004 07:00:00   ;     0
28.04.2004 07:00:00   ;     0
29.04.2004 07:00:00   ;     0
30.04.2004 07:00:00   ;     0
01.05.2004 07:00:00   ;     0
02.05.2004 07:00:00   ;     0
03.05.2004 07:00:00   ;     0
04.05.2004 07:00:00   ;     0
05.05.2004 07:00:00   ;     0
06.05.2004 07:00:00   ;     0
07.05.2004 07:00:00   ;     0
08.05.2004 07:00:00   ;     0
09.05.2004 07:00:00   ;     0
10.05.2004 07:00:00   ;     0
11.05.2004 07:00:00   ;     0
12.05.2004 07:00:00   ;     0
13.05.2004 07:00:00   ;     0
14.05.2004 07:00:00   ;     0
15.05.2004 07:00:00   ;     0
16.05.2004 07:00:00   ;     0
17.05.2004 07:00:00   ;     0
18.05.2004 07:00:00   ;     0
19.05.2004 07:00:00   ;     0
20.05.2004 07:00:00   ;     0
21.05.2004 07:00:00   ;     0
22.05.2004 07:00:00   ;     0
23.05.2004 07:00:00   ;     0
24.05.2004 07:00:00   ;     0
25.05.2004 07:00:00   ;     0
26.05.2004 07:00:00   ;     0
27.05.2004 07:00:00   ;     0
28.05.2004 07:00:00   ;     0
29.05.2004 07:00:00   ;     0
30.05.2004 07:00:00   ;     0
31.05.2004 07:00:00   ;     0
01.06.2004 07:00:00   ;     0
02.06.2004 07:00:00   ;     0
03.06.2004 07:00:00   ;     0
04.06.2004 07:00:00   ;     0
05.06.2004 07:00:00   ;     0
06.06.2004 07:00:00   ;     0
07.06.2004 07:00:00   ;     0
08.06.2004 07:00:00   ;     0
09.06.2004 07:00:00   ;     0
10.06.2004 07:00:00   ;     0
11.06.2004 07:00:00   ;     0
12.06.2004 07:00:00   ;     0
13.06.2004 07:00:00   ;     0
14.06.2004 07:00:00   ;     0
15.06.2004 07:00:00   ;     0
16.06.2004 07:00:00   ;     0
17.06.2004 07:00:00   ;     0
18.06.2004 07:00:00   ;     0
19.06.2004 07:00:00   ;     0
20.06.2004 07:00:00   ;     0
21.06.2004 07:00:00   ;     0
22.06.2004 07:00:00   ;     0
23.06.2004 07:00:00   ;     0
24.06.2004 07:00:00   ;     0
25.06.2004 07:00:00   ;     0
26.06.2004 07:00:00   ;     0
27.06.2004 07:00:00   ;     0
28.06.2004 07:00:00   ;     0
29.06.2004 07:00:00   ;     0
30.06.2004 07:00:00   ;     0
01.07.2004 07:00:00   ;     0
02.07.2004 07:00:00   ;     0
03.07.2004 07:00:00   ;     0
04.07.2004 07:00:00   ;     0
05.07.2004 07:00:00   ;     0
06.07.2004 07:00:00   ;     0
07.07.2004 07:00:00   ;     0
08.07.2004 07:00:00   ;     0
09.07.2004 07:00:00   ;     0
10.07.2004 07:00:00   ;     0
11.07.2004 07:00:00   ;     0
12.07.2004 07:00:00   ;     0
13.07.2004 07:00:00   ;     0
14.07.2004 07:00:00   ;     0
15.07.2004 07:00:00   ;     0
16.07.2004 07:00:00   ;     0
17.07.2004 07:00:00   ;     0
18.07.2004 07:00:00   ;     0
19.07.2004 07:00:00   ;     0
20.07.2004 07:00:00   ;     0
21.07.2004 07:00:00   ;     0
22.07.2004 07:00:00   ;     0
23.07.2004 07:00:00   ;     0
24.07.2004 07:00:00   ;     0
25.07.2004 07:00:00   ;     0
26.07.2004 07:00:00   ;     0
27.07.2004 07:00:00   ;     0
28.07.2004 07:00:00   ;     0
29.07.2004 07:00:00   ;     0
30.07.2004 07:00:00   ;     0
31.07.2004 07:00:00   ;     0
01.08.2004 07:00:00   ;     0
02.08.2004 07:00:00   ;     0
03.08.2004 07:00:00   ;     0
04.08.2004 07:00:00   ;     0
05.08.2004 07:00:00   ;     0
06.08.2004 07:00:00   ;     0
07.08.2004 07:00:00   ;     0
08.08.2004 07:00:00   ;     0
09.08.2004 07:00:00   ;     0
10.08.2004 07:00:00   ;     0
11.08.2004 07:00:00   ;     0
12.08.2004 07:00:00   ;     0
13.08.2004 07:00:00   ;     0
14.08.2004 07:00:00   ;     0
15.08.2004 07:00:00   ;     0
16.08.2004 07:00:00   ;     0
17.08.2004 07:00:00   ;     0
18.08.2004 07:00:00   ;     0
19.08.2004 07:00:00   ;     0
20.08.2004 07:00:00   ;     0
21.08.2004 07:00:00   ;     0
22.08.2004 07:00:00   ;     0
23.08.2004 07:00:00   ;     0
24.08.2004 07:00:00   ;     0
25.08.2004 07:00:00   ;     0
26.08.2004 07:00:00   ;     0
27.08.2004 07:00:00   ;     0
28.08.2004 07:00:00   ;     0
29.08.2004 07:00:00   ;     0
30.08.2004 07:00:00   ;     0
31.08.2004 07:00:00   ;     0
01.09.2004 07:00:00   ;     0
02.09.2004 07:00:00   ;     0
03.09.2004 07:00:00   ;     0
04.09.2004 07:00:00   ;     0
05.09.2004 07:00:00   ;     0
06.09.2004 07:00:00   ;     0
07.09.2004 07:00:00   ;     0
08.09.2004 07:00:00   ;     0
09.09.2004 07:00:00   ;     0
10.09.2004 07:00:00   ;     0
11.09.2004 07:00:00   ;     0
12.09.2004 07:00:00   ;     0
13.09.2004 07:00:00   ;     0
14.09.2004 07:00:00   ;     0
15.09.2004 07:00:00   ;     0
16.09.2004 07:00:00   ;     0
17.09.2004 07:00:00   ;     0
18.09.2004 07:00:00   ;     0
19.09.2004 07:00:00   ;     0
20.09.2004 07:00:00   ;     0
21.09.2004 07:00:00   ;     0
22.09.2004 07:00:00   ;     0
23.09.2004 07:00:00   ;     0
24.09.2004 07:00:00   ;     0
25.09.2004 07:00:00   ;     0
26.09.2004 07:00:00   ;     0
27.09.2004 07:00:00   ;     0
28.09.2004 07:00:00   ;     0
29.09.2004 07:00:00   ;     0
30.09.2004 07:00:00   ;     0
01.10.2004 07:00:00   ;     0
02.10.2004 07:00:00   ;     0
03.10.2004 07:00:00   ;     0
04.10.2004 07:00:00   ;     0
05.10.2004 07:00:00   ;     0
06.10.2004 07:00:00   ;     0
07.10.2004 07:00:00   ;     0
08.10.2004 07:00:00   ;     0
09.10.2004 07:00:00   ;     0
10.10.2004 07:00:00   ;     0
11.10.2004 07:00:00   ;     0
12.10.2004 07:00:00   ;     0
13.10.2004 07:00:00   ;     0
14.10.2004 07:00:00   ;     0
15.10.2004 07:00:00   ;     0
16.10.2004 07:00:00   ;     0
17.10.2004 07:00:00   ;     0
18.10.2004 07:00:00   ;     0
19.10.2004 07:00:00   ;     0
20.10.2004 07:00:00   ;     0
21.10.2004 07:00:00   ;     0
22.10.2004 07:00:00   ;     0
23.10.2004 07:00:00   ;     0
24.10.2004 07:00:00   ;     0
25.10.2004 07:00:00   ;     0
26.10.2004 07:00:00   ;     0
27.10.2004 07:00:00   ;     0
28.10.2004 07:00:00   ;     0
29.10.2004 07:00:00   ;     0
30.10.2004 07:00:00   ;     0
31.10.2004 07:00:00   ;     0
01.11.2004 07:00:00   ;     0
02.11.2004 07:00:00   ;     0
03.11.2004 07:00:00   ;     0
04.11.2004 07:00:00   ;     0
05.11.2004 07:00:00   ;     0
06.11.2004 07:00:00   ;     0
07.11.2004 07:00:00   ;     0
08.11.2004 07:00:00   ;     0
09.11.2004 07:00:00   ;     0
10.11.2004 07:00:00   ;     0
11.11.2004 07:00:00   ;     0
12.11.2004 07:00:00   ;     0
13.11.2004 07:00:00   ;     0
14.11.2004 07:00:00   ;     0
15.11.2004 07:00:00   ;     0
16.11.2004 07:00:00   ;     0
17.11.2004 07:00:00   ;     0
18.11.2004 07:00:00   ;     0
19.11.2004 07:00:00   ;     0
20.11.2004 07:00:00   ;     0
21.11.2004 07:00:00   ;     0
22.11.2004 07:00:00   ;     0
23.11.2004 07:00:00   ;     0
24.11.2004 07:00:00   ;     0
25.11.2004 07:00:00   ;     0
26.11.2004 07:00:00   ;     0
27.11.2004 07:00:00   ;     0
28.11.2004 07:00:00   ;     0
29.11.2004 07:00:00   ;     0
30.11.2004 07:00:00   ;     0
01.12.2004 07:00:00   ;     0
02.12.2004 07:00:00   ;     0
03.12.2004 07:00:00   ;     0
04.12.2004 07:00:00   ;     0
05.12.2004 07:00:00   ;     0
06.12.2004 07:00:00   ;     0
07.12.2004 07:00:00   ;     0
08.12.2004 07:00:00   ;     0
09.12.2004 07:00:00   ;     0
10.12.2004 07:00:00   ;     0
11.12.2004 07:00:00   ;     0
12.12.2004 07:00:00   ;     0
13.12.2004 07:00:00   ;     0
14.12.2004 07:00:00   ;     0
15.12.2004 07:00:00   ;     0
16.12.2004 07:00:00   ;     0
17.12.2004 07:00:00   ;     0
18.12.2004 07:00:00   ;     0
19.12.2004 07:00:00   ;     0
20.12.2004 07:00:00   ;     0
21.12.2004 07:00:00   ;     0
22.12.2004 07:00:00   ;     0
23.12.2004 07:00:00   ;     0
24.12.2004 07:00:00   ;     0
25.12.2004 07:00:00   ;     0
26.12.2004 07:00:00   ;     0
27.12.2004 07:00:00   ;     5
28.12.2004 07:00:00   ;     5
29.12.2004 07:00:00   ;     0
30.12.2004 07:00:00   ;     0
31.12.2004 07:00:00   ;     0
01.01.2005 07:00:00   ;     0
02.01.2005 07:00:00   ;     0
03.01.2005 07:00:00   ;     0
04.01.2005 07:00:00   ;     0
05.01.2005 07:00:00   ;     0
06.01.2005 07:00:00   ;     0
07.01.2005 07:00:00   ;     0
08.01.2005 07:00:00   ;     0
09.01.2005 07:00:00   ;     0
10.01.2005 07:00:00   ;     0
11.01.2005 07:00:00   ;     0
12.01.2005 07:00:00   ;     0
13.01.2005 07:00:00   ;     0
14.01.2005 07:00:00   ;     0
15.01.2005 07:00:00   ;     0
16.01.2005 07:00:00   ;     0
17.01.2005 07:00:00   ;     0
18.01.2005 07:00:00   ;     0
19.01.2005 07:00:00   ;     0
20.01.2005 07:00:00   ;     8
21.01.2005 07:00:00   ;     8
22.01.2005 07:00:00   ;    25
23.01.2005 07:00:00   ;    25
24.01.2005 07:00:00   ;    25
25.01.2005 07:00:00   ;    25
26.01.2005 07:00:00   ;    25
27.01.2005 07:00:00   ;    20
28.01.2005 07:00:00   ;    20
29.01.2005 07:00:00   ;    20
30.01.2005 07:00:00   ;    20
31.01.2005 07:00:00   ;    20
01.02.2005 07:00:00   ;    22
02.02.2005 07:00:00   ;    25
03.02.2005 07:00:00   ;    55
04.02.2005 07:00:00   ;    60
05.02.2005 07:00:00   ;    60
06.02.2005 07:00:00   ;    55
07.02.2005 07:00:00   ;    55
08.02.2005 07:00:00   ;    55
09.02.2005 07:00:00   ;    50
10.02.2005 07:00:00   ;    50
11.02.2005 07:00:00   ;    50
12.02.2005 07:00:00   ;    45
13.02.2005 07:00:00   ;    45
14.02.2005 07:00:00   ;    45
15.02.2005 07:00:00   ;    45
16.02.2005 07:00:00   ;    40
17.02.2005 07:00:00   ;    40
18.02.2005 07:00:00   ;    40
19.02.2005 07:00:00   ;    40
20.02.2005 07:00:00   ;    40
21.02.2005 07:00:00   ;    35
22.02.2005 07:00:00   ;    45
23.02.2005 07:00:00   ;    45
24.02.2005 07:00:00   ;    40
25.02.2005 07:00:00   ;    40
26.02.2005 07:00:00   ;    40
27.02.2005 07:00:00   ;    35
28.02.2005 07:00:00   ;    35
01.03.2005 07:00:00   ;    35
02.03.2005 07:00:00   ;    35
03.03.2005 07:00:00   ;    35
04.03.2005 07:00:00   ;    30
05.03.2005 07:00:00   ;    30
06.03.2005 07:00:00   ;    30
07.03.2005 07:00:00   ;    30
08.03.2005 07:00:00   ;    35
09.03.2005 07:00:00   ;    35
10.03.2005 07:00:00   ;    45
11.03.2005 07:00:00   ;    40
12.03.2005 07:00:00   ;    40
13.03.2005 07:00:00   ;    35
14.03.2005 07:00:00   ;    30
15.03.2005 07:00:00   ;    20
16.03.2005 07:00:00   ;    10
17.03.2005 07:00:00   ;     5
18.03.2005 07:00:00   ;     0
19.03.2005 07:00:00   ;     0
20.03.2005 07:00:00   ;     0
21.03.2005 07:00:00   ;     0
22.03.2005 07:00:00   ;     0
23.03.2005 07:00:00   ;     0
24.03.2005 07:00:00   ;     0
25.03.2005 07:00:00   ;     0
26.03.2005 07:00:00   ;     0
27.03.2005 07:00:00   ;     0
28.03.2005 07:00:00   ;     0
29.03.2005 07:00:00   ;     0
30.03.2005 07:00:00   ;     0
31.03.2005 07:00:00   ;     0
01.04.2005 07:00:00   ;     0
02.04.2005 07:00:00   ;     0
03.04.2005 07:00:00   ;     0
04.04.2005 07:00:00   ;     0
05.04.2005 07:00:00   ;     0
06.04.2005 07:00:00   ;     0
07.04.2005 07:00:00   ;     0
08.04.2005 07:00:00   ;     0
09.04.2005 07:00:00   ;     0
10.04.2005 07:00:00   ;     0
11.04.2005 07:00:00   ;     0
12.04.2005 07:00:00   ;     0
13.04.2005 07:00:00   ;     0
14.04.2005 07:00:00   ;     0
15.04.2005 07:00:00   ;     0
16.04.2005 07:00:00   ;     0
17.04.2005 07:00:00   ;     0
18.04.2005 07:00:00   ;     0
19.04.2005 07:00:00   ;     0
20.04.2005 07:00:00   ;     0
21.04.2005 07:00:00   ;     0
22.04.2005 07:00:00   ;     0
23.04.2005 07:00:00   ;     0
24.04.2005 07:00:00   ;     0
25.04.2005 07:00:00   ;     0
26.04.2005 07:00:00   ;     0
27.04.2005 07:00:00   ;     0
28.04.2005 07:00:00   ;     0
29.04.2005 07:00:00   ;     0
30.04.2005 07:00:00   ;     0
01.05.2005 07:00:00   ;     0
02.05.2005 07:00:00   ;     0
03.05.2005 07:00:00   ;     0
04.05.2005 07:00:00   ;     0
05.05.2005 07:00:00   ;     0
06.05.2005 07:00:00   ;     0
07.05.2005 07:00:00   ;     0
08.05.2005 07:00:00   ;     0
09.05.2005 07:00:00   ;     0
10.05.2005 07:00:00   ;     0
11.05.2005 07:00:00   ;     0
12.05.2005 07:00:00   ;     0
13.05.2005 07:00:00   ;     0
14.05.2005 07:00:00   ;     0
15.05.2005 07:00:00   ;     0
16.05.2005 07:00:00   ;     0
17.05.2005 07:00:00   ;     0
18.05.2005 07:00:00   ;     0
19.05.2005 07:00:00   ;     0
20.05.2005 07:00:00   ;     0
21.05.2005 07:00:00   ;     0
22.05.2005 07:00:00   ;     0
23.05.2005 07:00:00   ;     0
24.05.2005 07:00:00   ;     0
25.05.2005 07:00:00   ;     0
26.05.2005 07:00:00   ;     0
27.05.2005 07:00:00   ;     0
28.05.2005 07:00:00   ;     0
29.05.2005 07:00:00   ;     0
30.05.2005 07:00:00   ;     0
31.05.2005 07:00:00   ;     0
01.06.2005 07:00:00   ;     0
02.06.2005 07:00:00   ;     0
03.06.2005 07:00:00   ;     0
04.06.2005 07:00:00   ;     0
05.06.2005 07:00:00   ;     0
06.06.2005 07:00:00   ;     0
07.06.2005 07:00:00   ;     0
08.06.2005 07:00:00   ;     0
09.06.2005 07:00:00   ;     0
10.06.2005 07:00:00   ;     0
11.06.2005 07:00:00   ;     0
12.06.2005 07:00:00   ;     0
13.06.2005 07:00:00   ;     0
14.06.2005 07:00:00   ;     0
15.06.2005 07:00:00   ;     0
16.06.2005 07:00:00   ;     0
17.06.2005 07:00:00   ;     0
18.06.2005 07:00:00   ;     0
19.06.2005 07:00:00   ;     0
20.06.2005 07:00:00   ;     0
21.06.2005 07:00:00   ;     0
22.06.2005 07:00:00   ;     0
23.06.2005 07:00:00   ;     0
24.06.2005 07:00:00   ;     0
25.06.2005 07:00:00   ;     0
26.06.2005 07:00:00   ;     0
27.06.2005 07:00:00   ;     0
28.06.2005 07:00:00   ;     0
29.06.2005 07:00:00   ;     0
30.06.2005 07:00:00   ;     0
01.07.2005 07:00:00   ;     0
02.07.2005 07:00:00   ;     0
03.07.2005 07:00:00   ;     0
04.07.2005 07:00:00   ;     0
05.07.2005 07:00:00   ;     0
06.07.2005 07:00:00   ;     0
07.07.2005 07:00:00   ;     0
08.07.2005 07:00:00   ;     0
09.07.2005 07:00:00   ;     0
10.07.2005 07:00:00   ;     0
11.07.2005 07:00:00   ;     0
12.07.2005 07:00:00   ;     0
13.07.2005 07:00:00   ;     0
14.07.2005 07:00:00   ;     0
15.07.2005 07:00:00   ;     0
16.07.2005 07:00:00   ;     0
17.07.2005 07:00:00   ;     0
18.07.2005 07:00:00   ;     0
19.07.2005 07:00:00   ;     0
20.07.2005 07:00:00   ;     0
21.07.2005 07:00:00   ;     0
22.07.2005 07:00:00   ;     0
23.07.2005 07:00:00   ;     0
24.07.2005 07:00:00   ;     0
25.07.2005 07:00:00   ;     0
26.07.2005 07:00:00   ;     0
27.07.2005 07:00:00   ;     0
28.07.2005 07:00:00   ;     0
29.07.2005 07:00:00   ;     0
30.07.2005 07:00:00   ;     0
31.07.2005 07:00:00   ;     0
01.08.2005 07:00:00   ;     0
02.08.2005 07:00:00   ;     0
03.08.2005 07:00:00   ;     0
04.08.2005 07:00:00   ;     0
05.08.2005 07:00:00   ;     0
06.08.2005 07:00:00   ;     0
07.08.2005 07:00:00   ;     0
08.08.2005 07:00:00   ;     0
09.08.2005 07:00:00   ;     0
10.08.2005 07:00:00   ;     0
11.08.2005 07:00:00   ;     0
12.08.2005 07:00:00   ;     0
13.08.2005 07:00:00   ;     0
14.08.2005 07:00:00   ;     0
15.08.2005 07:00:00   ;     0
16.08.2005 07:00:00   ;     0
17.08.2005 07:00:00   ;     0
18.08.2005 07:00:00   ;     0
19.08.2005 07:00:00   ;     0
20.08.2005 07:00:00   ;     0
21.08.2005 07:00:00   ;     0
22.08.2005 07:00:00   ;     0
23.08.2005 07:00:00   ;     0
24.08.2005 07:00:00   ;     0
25.08.2005 07:00:00   ;     0
26.08.2005 07:00:00   ;     0
27.08.2005 07:00:00   ;     0
28.08.2005 07:00:00   ;     0
29.08.2005 07:00:00   ;     0
30.08.2005 07:00:00   ;     0
31.08.2005 07:00:00   ;     0
01.09.2005 07:00:00   ;     0
02.09.2005 07:00:00   ;     0
03.09.2005 07:00:00   ;     0
04.09.2005 07:00:00   ;     0
05.09.2005 07:00:00   ;     0
06.09.2005 07:00:00   ;     0
07.09.2005 07:00:00   ;     0
08.09.2005 07:00:00   ;     0
09.09.2005 07:00:00   ;     0
10.09.2005 07:00:00   ;     0
11.09.2005 07:00:00   ;     0
12.09.2005 07:00:00   ;     0
13.09.2005 07:00:00   ;     0
14.09.2005 07:00:00   ;     0
15.09.2005 07:00:00   ;     0
16.09.2005 07:00:00   ;     0
17.09.2005 07:00:00   ;     0
18.09.2005 07:00:00   ;     0
19.09.2005 07:00:00   ;     0
20.09.2005 07:00:00   ;     0
21.09.2005 07:00:00   ;     0
22.09.2005 07:00:00   ;     0
23.09.2005 07:00:00   ;     0
24.09.2005 07:00:00   ;     0
25.09.2005 07:00:00   ;     0
26.09.2005 07:00:00   ;     0
27.09.2005 07:00:00   ;     0
28.09.2005 07:00:00   ;     0
29.09.2005 07:00:00   ;     0
30.09.2005 07:00:00   ;     0
01.10.2005 07:00:00   ;     0
02.10.2005 07:00:00   ;     0
03.10.2005 07:00:00   ;     0
04.10.2005 07:00:00   ;     0
05.10.2005 07:00:00   ;     0
06.10.2005 07:00:00   ;     0
07.10.2005 07:00:00   ;     0
08.10.2005 07:00:00   ;     0
09.10.2005 07:00:00   ;     0
10.10.2005 07:00:00   ;     0
